,year,type,country,age,species_,fecha_limpia,fatal,sex,latitud,longitud,fatal_N,fatal_Unknown,fatal_Y,age_jovenes,age_adultos,age_ancianos,type.1,species_.1,fecha_limpia.1,age_n_manual,age_n_log,age_n_raiz,age_n_box,age_minmax
10,2018,Provoked,australia,32,Grey shark,May,N,M,0,134.755,1,0,0,0,1,0,4,0,9,0.05623957452856297,3.4657359027997265,5.656854249492381,6.886696297701842,0.36046511627906974
11,2018,Unprovoked,usa,10,Unespecific,May,N,M,1,-100.445882,1,0,0,1,0,0,7,3,9,-0.19957437895980912,2.302585092994046,3.1622776601683795,3.58302947382199,0.10465116279069767
12,2018,Invalid,england,21,Tiger shark,May,N,M,1,-1.2649062,1,0,0,1,0,0,3,2,9,-0.07166740221562308,3.044522437723423,4.58257569495584,5.528303710887473,0.23255813953488372
13,2018,Provoked,australia,34,Tiger shark,May,N,F,0,134.755,1,0,0,0,1,0,4,2,9,0.07949538848205134,3.5263605246161616,5.830951894845301,7.0996926693035265,0.3837209302325581
14,2018,Unprovoked,south africa,27,Unespecific,May,N,M,0,24.991639,1,0,0,1,0,0,7,3,9,-0.0018999603551579575,3.295836866004329,5.196152422706632,6.313925056346614,0.3023255813953488
15,2018,Questionable,australia,27,Tiger shark,May,N,M,0,134.755,1,0,0,1,0,0,5,2,9,-0.0018999603551579575,3.295836866004329,5.196152422706632,6.313925056346614,0.3023255813953488
16,2018,Unprovoked,thailand,27,Unespecific,Apr,N,M,1,100.83273,1,0,0,1,0,0,7,3,0,-0.0018999603551579575,3.295836866004329,5.196152422706632,6.313925056346614,0.3023255813953488
17,2018,Unprovoked,costa rica,30,Tiger shark,Apr,N,M,1,-84.0739102,1,0,0,0,1,0,7,2,0,0.0329837605750746,3.4011973816621555,5.477225575051661,6.664991716935973,0.3372093023255814
18,2018,Unprovoked,australia,27,Unespecific,Apr,N,M,0,134.755,1,0,0,1,0,0,7,3,0,-0.0018999603551579575,3.295836866004329,5.196152422706632,6.313925056346614,0.3023255813953488
19,2018,Questionable,australia,27,Tiger shark,Apr,N,M,0,134.755,1,0,0,1,0,0,5,2,0,-0.0018999603551579575,3.295836866004329,5.196152422706632,6.313925056346614,0.3023255813953488
20,2018,Unprovoked,australia,60,Unespecific,Apr,N,M,0,134.755,1,0,0,0,0,1,7,3,0,0.38182096987740016,4.0943445622221,7.745966692414834,9.33772223524818,0.686046511627907
21,2018,Unprovoked,australia,27,White shark,Apr,N,M,0,134.755,1,0,0,1,0,0,7,4,0,-0.0018999603551579575,3.295836866004329,5.196152422706632,6.313925056346614,0.3023255813953488
22,2018,Unprovoked,maldives,32,Tiger shark,Apr,N,M,1,73.3287853,1,0,0,0,1,0,7,2,0,0.05623957452856297,3.4657359027997265,5.656854249492381,6.886696297701842,0.36046511627906974
23,2018,Unprovoked,south africa,33,White shark,Apr,N,M,0,24.991639,1,0,0,0,1,0,7,4,0,0.06786748150530716,3.4965075614664802,5.744562646538029,6.994228303440125,0.37209302325581395
24,2018,Unprovoked,usa,29,Unespecific,Apr,N,M,1,-100.445882,1,0,0,1,0,0,7,3,0,0.021355853598330414,3.367295829986474,5.385164807134504,6.550576128997467,0.3255813953488372
25,2018,Unprovoked,thailand,54,Lemon shark,Apr,N,M,1,100.83273,1,0,0,0,1,0,7,1,0,0.3120535280169351,3.9889840465642745,7.3484692283495345,8.887334884989867,0.6162790697674418
